BAR,DB,PHONE,STORE_SITE_ID,ACTIVE,NOTEPADURL
BAR112,90, NA,,81,
BAR113,91,(610) 882-0585,6336,82,
BAR114,92,(203) 840-1001,662,83,
BAR115,93,(215) 661-1025,6265,84,
BAR116,94,(781) 935-0821,96,85,
BAR117,95,(508) 643-2603,462,86,
BAR118,96,(203) 323-1458,646,87,
BAR119,97,(203) 798-0555,659,88,
BAR120,98,(215) 345-0334,6473,89,
BAR121,99,(215) 536-5065,6333,90,
BAR122,100,(215) 766-8665,6475,91,
BAR123,101,(203) 469-8895,692,92,
BAR124,102,(617) 541-4700,429,93,
BAR125,103,(508) 852-0505,85,94,
BAR126,104,(610) 559-8770,6330,95,
BAR127,105,(215) 283-4585,6510,96,
BAR128,106, NA,,97,
BAR129,107,(508) 399-6019,443,98,
BAR130,108,(978) 762-4444,93,99,
BAR131,109,(508) 291-1110,474,100,
BAR132,110,(617) 923-3007,49,101,
BAR133,111, NA,,102,
BAR134,112,(508) 366-9190,19,103,
BAR135,113,(413) 323-6546,435,104,
BAR136,114,(413) 442-7600,21,105,
BAR137,115,(610) 866-3355,6123,106,
BAR138,116,(617) 779-9116,89,107,
BAR139,117,(610) 265-1870,6512,108,
BAR140,118,(413) 426-9504,454,109,
BAR141,119,(978) 664-0192,2406,110,
BAR142,120, NA,,111,
BAR143,121,(978) 562-4111,489,112,
BAR144,122,(508) 879-4044,8,113,
BAR145,123,(508) 695-1999,490,114,
BAR146,124,(203) 254-8484,653,115,
BAR147,125,(781) 341-1797,33,116,
BAR148,126,(413) 562-2300,72,117,
BAR149,127,(413) 499-0745,458,118,
BAR150,128,(215) 257-1131,6474,119,
BAR151,129,(215) 741-3360,6517,120,
BAR152,130,(401) 721-9821,710,121,
BAR153,131,(267) 885-0920,6411,122,
BAR154,132,(508) 791-8855,79,123,
BAR155,133,(610) 497-5375,6278,124,
BAR156,134,(508) 394-1234,22,125,
BAR157,135,(781) 944-2919,488,126,
BAR158,136,(610) 391-0152,6457,127,
BAR159,137,(610) 863-8635,6093,128,
BAR160,138,(717) 796-6555,6005,129,
BAR161,139,(570) 307-1320,6316,130,
BAR162,140,(610) 642-5206,6506,131,
BAR163,141,(610) 262-7581,6319,132,
BAR164,142,(860) 963-2640,727,133,
BAR165,143,(508) 520-4102,472,134,
BAR166,144,(781) 826-9802,14,135,
BAR167,145,(610) 355-7717,6309,136,
BAR168,146,(401) 861-7610,703,137,
BAR169,147,(610) 449-1161,6442,138,
BAR170,148,(484) 546-0084,6255,139,
BAR171,149,(860) 848-6960,678,140,
BAR172,150,(508) 887-9500,57,141,
BAR173,151,(978) 281-0010,410,142,
BAR174,152,(610) 759-7213,6321,143,
BAR175,153,(860) 741-2200,2605,144,
BAR176,154,(717) 249-2323,6112,145,
BAR177,155,(508) 226-2400,432,146,
BAR178,156, NA,,147,
BAR179,157,(203) 438-7317,656,148,
BAR180,158,(860) 871-0897,613,149,
BAR181,159,(732) 341-1327,811,150,
BAR182,160,(203) 234-1757,694,151,
BAR183,161, NA,,152,
BAR184,162,(540) 665-0908,6078,153,
BAR185,163,(203) 268-0589,685,154,
BAR186,164,(978) 683-9666,92,155,
BAR187,165,(413) 525-5747,61,156,
BAR188,166,(203) 931-8843,696,157,
BAR189,167,(610) 776-1531,6243,158,
BAR190,168,(610) 604-1570,6511,159,
BAR191,169,(203) 375-8787,639,160,
BAR192,170,(413) 664-8100,784,161,
BAR193,171,(413) 789-2224,782,162,
BAR194,172, NA,,163,
BAR195,173,(413) 774-6096,45,164,
BAR196,174,(203) 356-0109,637,165,
BAR197,175,(413) 543-1041,404,166,
BAR198,176,(413) 593-1111,36,167,
BAR199,177,(610) 328-0029,6464,168,
BAR200,178, NA,,169,
BAR201,179,(508) 337-9450,7,170,
BAR202,180,(203) 245-7204,624,171,
BAR203,181, NA,,172,
BAR204,182,(860) 535-8234,2607,173,
BAR205,183,(860) 482-5125,2604,174,
BAR206,184,(413) 732-6510,80,175,
BAR207,185, NA,,176,
BAR208,186,(401) 949-4800,705,177,
BAR209,187, NA,,178,
BAR210,188,(215) 233-0420,6522,179,
BAR211,189,(814) 940-2550,6292,180,
BAR212,190,(781) 391-5869,433,181,
BAR213,191,(610) 623-9223,6329,182,
BAR214,192,(413) 737-8770,94,183,
BAR215,193, NA,,184,
BAR216,194,(724) 626-8025,6290,185,
BAR217,195,(617) 287-9193,18,186,
BAR218,196,(781) 331-9565,487,187,
BAR219,197,(717) 766-6550,6331,188,
BAR220,198,(717) 545-3752,6539,189,
BAR221,199,(215) 682-7424,6089,190,
BAR222,200,(781) 982-9876,28,191,
BAR223,201, NA,,192,
BAR224,202, NA,,193,
BAR225,203,(610) 691-4304,6313,194,
BAR226,204,(401) 861-9300,725,195,
BAR227,205,(203) 270-0177,636,196,
BAR228,206,(215) 295-8032,6103,197,
BAR229,207,(215) 379-6900,6509,198,
BAR230,208,(203) 333-8715,673,199,
BAR231,209,(401) 453-3899,722,200,
BAR232,210, NA,,201,
BAR233,211,(781) 271-9400,88,202,
BAR234,212,(860) 635-8300,606,203,
BAR235,213,(508) 993-1791,98,204,
BAR236,214,(508) 543-5791,494,205,
BAR237,215, NA,6547,206,
BAR238,216,(610) 325-2478,6526,207,
BAR239,217, NA,,208,
BAR240,218,(717) 920-0437,6304,209,
BAR241,219,(570) 421-1797,6455,210,
BAR242,220,(814) 861-2578,6524,211,
BAR243,221,(401) 431-0450,2701,212,
BAR244,222,(860) 669-2228,652,213,
BAR245,223,(203) 333-0333,698,214,
BAR246,224,(508) 675-0391,473,215,
BAR247,225,(860) 779-2070,697,216,
BAR248,226,(215) 493-3540,6062,217,
BAR249,227,(203) 371-6972,670,218,
BAR250,228,(410) 552-5107,6307,219,
BAR251,229,(413) 584-9200,787,220,
BAR252,230,(401) 596-0169,736,221,
BAR253,231,(717) 312-0725,6097,222,
BAR254,232, NA,,223,
BAR255,233, NA,,224,
BAR256,234, NA,,225,
BAR257,235, NA,,226,
BAR258,236,(401) 943-7601,714,227,
BAR259,237,(401) 739-1696,739,228,
BAR260,238,(203) 265-6972,638,229,
BAR261,239,(203) 929-7516,629,230,
BAR262,240,(860) 871-0498,2614,231,
BAR263,241, NA,,232,
BAR264,242,(401) 884-9400,716,233,
BAR265,243,(617) 773-4510,17,234,
BAR266,244,(781) 286-2200,43,235,
BAR267,245,(860) 444-6772,667,236,
BAR268,246,(215) 674-4607,6257,237,
BAR269,247,(215) 949-8941,6094,238,
BAR270,248,(610) 791-9644,6074,239,
BAR271,249,(610) 239-7804,6091,240,
BAR272,250,(717) 909-7306,6006,241,
BAR273,251,(203) 272-1011,695,242,
BAR274,252,(508) 883-2179,430,243,
BAR275,253,(860) 346-0160,623,244,
BAR276,254,(860) 645-8050,689,245,
BAR277,255,(215) 784-1960,6427,246,
BAR278,256,(203) 876-0467,647,247,
BAR279,257,(781) 749-1143,35,248,
BAR280,258,(718) 860-3139,2593,249,
BAR281,259,(215) 968-0676,6480,250,
BAR282,260,(860) 267-2039,2611,251,
BAR283,261, NA,,252,
BAR284,262,(860) 665-8166,2613,253,
BAR285,263,(781) 284-0717,11,254,
BAR286,264,(215) 949-1408,6324,255,
BAR287,265,(508) 428-1278,66,256,
BAR288,266,(413) 536-1247,9,257,
BAR289,267, NA,,258,
BAR290,268, NA,,259,
BAR291,269, NA,,260,
BAR292,270, NA,,261,
BAR293,271, NA,,262,
BAR294,272,(401) 944-6300,707,263,
BAR295,273,(978) 250-4102,480,264,
BAR296,274,(508) 427-5500,415,265,
BAR297,275,(717) 601-3676,6542,266,
BAR298,276,(781) 438-3737,39,267,
BAR299,277,(401) 727-3400,724,268,
BAR300,278,(401) 849-5510,708,269,
BAR301,279,(508) 668-7722,,270,
BAR302,280,(860) 537-2361,44,271,
BAR303,281,(814) 643-2794,608,272,
BAR304,282,(508) 820-0900,6277,273,
BAR305,283,(508) 672-2177,3,274,
BAR306,284,(401) 732-4616,71,275,
BAR307,285,(215) 357-5324,726,276,
BAR308,286, NA,6095,277,
BAR309,287, NA,,278,
BAR310,288, NA,,279,
BAR311,289,(860) 445-4440,682,280,
BAR312,290,(781) 871-0020,54,281,
BAR313,291,(240) 420-8545,6444,282,
BAR314,292,(508) 998-2000,70,283,
BAR315,293,(610) 941-5448,6011,284,
BAR316,294, NA,,285,
BAR317,295,(401) 334-6006,712,286,
BAR318,296,(717) 632-2882,6054,287,
BAR319,297,(401) 254-2525,723,288,
BAR320,298,(401) 828-9360,709,289,
BAR321,299,(203) 881-2641,603,290,
BAR322,300, NA,,291,
BAR323,301, NA,,292,
BAR324,302, NA,,293,
BAR325,303, NA,,294,
BAR326,304, NA,,295,
BAR327,305, NA,,296,
BAR328,306, NA,,297,
BAR329,307, NA,,298,
BAR330,308,(401) 823-1515,720,299,
BAR331,309,(610) 623-5442,6083,300,
BAR332,310,(203) 389-8600,648,301,
BAR333,311,(860) 828-0276,614,302,
BAR334,312,(401) 722-3300,704,303,
BAR335,313,(860) 456-8768,674,304,
BAR336,314,(860) 887-1611,615,305,
BAR337,315,(860) 274-7459,657,306,
BAR338,316, NA,,307,
BAR339,317,(215) 396-3393,6541,308,
BAR340,318,(717) 263-4000,,309,
BAR341,319, NA,6052,310,
BAR342,320, NA,,311,
BAR343,321, NA,,312,
BAR344,322, NA,,313,
BAR345,323, NA,,314,
BAR346,324,(717) 909-7012,6529,315,
BAR347,325,(401) 539-8800,729,316,
BAR348,326,(413) 536-9287,30,317,
BAR349,327,(401) 769-0112,721,318,
BAR350,328,(203) 732-3901,635,319,
BAR351,329,(717) 632-6673,6461,320,
BAR352,330,(203) 445-1006,620,321,
BAR353,331,(203) 488-1325,687,322,
BAR354,332,(203) 755-9489,675,323,
BAR355,333,(717) 567-3950,6100,324,
BAR356,334,(860) 388-6354,688,325,
BAR357,335,(860) 348-9856,645,326,
BAR358,336,(301) 745-4901,6104,327,
BAR359,337,(781) 383-2101,482,328,
BAR360,338,(610) 940-2231,6481,329,
BAR361,339,(717) 591-0979,6120,330,
BAR362,340,(203) 877-1841,663,331,
BAR363,341, NA,,332,
BAR364,342,(508) 824-8800,38,333,
BAR365,343,(717) 896-8703,6090,334,
BAR366,344,(215) 881-2100,6518,335,
BAR367,345,(717) 545-0489,6447,336,
BAR368,346,(781) 356-1730,478,337,
BAR369,347,(814) 371-7299,6325,338,
BAR370,348,NA,,339,
BAR371,349,(717) 948-1607,6088,340,
BAR372,350,(860) 582-3154,642,341,
BAR373,351,(781) 447-7817,444,342,
BAR374,352,(203) 503-0105,2633,343,
BAR375,353,(401) 845-2220,731,344,
BAR376,354,(401) 941-6100,2702,345,
BAR377,355,(717) 337-0017,6267,346,
BAR378,356,(717) 724-1166,6269,347,
BAR379,357,(203) 620-9161,684,348,
BAR380,358,(860) 582-5674,628,349,
BAR381,359,(717) 532-7515,6061,350,
BAR382,360,(508) 336-2550,73,351,
BAR383,361,(610) 631-8130,6084,352,
BAR384,362,(717) 774-4936,6253,353,
BAR385,363,(401) 783-9614,718,354,
BAR386,364,NA,,355,
BAR387,365,(717) 765-0136,6525,356,
BAR388,366,(203) 262-4555,621,357,
BAR389,367,(203) 729-4182,604,358,
BAR390,368,(717) 256-0050,6279,359,
BAR391,369,NA,,360,
BAR392,370,(508) 999-7200,493,361,
BAR393,371,NA,,362,
BAR394,372,(508) 347-9500,481,363,
BAR395,373,(203) 756-4678,679,364,
BAR396,374,(860) 659-4553,631,365,
BAR397,375,(508) 990-4500,427,366,
BAR398,376,(413) 253-3227,95,367,
BAR399,377,NA,,368,
BAR400,378,(203) 238-1235,654,369,
BAR401,379,(717) 485-0430,6272,370,
BAR402,380,(781) 293-1961,82,371,
BAR403,381,(203) 755-8605,618,372,
BAR404,382, (301) 790-0143,6275,373,
BAR405,383, (717) 638-1230,6310,374,
BAR406,384, (617) 328-4477,20,375,
BAR407,385, (860) 651-4787,607,376,
BAR408,386, (570) 622-1134,6244,377,
BAR409,387, (508) 746-1444,469,378,
BAR410,388, (860) 844-8331,611,379,
BAR411,389, (814) 949-2320,6012,380,
BAR412,390, (717) 718-1884,6294,381,
BAR413,391, (860) 242-5954,651,382,
BAR414,392, (508) 999-7200,1331,383,
BAR415,393, (516) 796-0300,555,384,
BAR416,394, (724) 465-6834,6308,385,
BAR417,395, (610) 838-7700,6043,386,
BAR418,396, (781) 255-1141,418,387,
BAR419,397, (860) 956-0477,610,388,
BAR420,398, (860) 482-4460,622,389,
BAR421,399, (215) 604-9924,6046,390,
BAR422,400,NA,,391,
BAR423,401, (814) 949-3721,6466,392,
BAR424,402, (860) 667-8380,630,393,
BAR425,403, (570) 524-9868,6332,394,
BAR426,404, (570) 459-5613,6081,395,
BAR427,405,NA,,396,
BAR428,406, (610) 678-3286,6050,397,
BAR429,407, (610) 406-9640,6446,398,
BAR430,408, (860) 652-8925,605,399,
BAR431,409, (508) 679-1373,421,400,
BAR432,410,NA,,401,
BAR433,411, (508) 255-5288,64,402,
BAR434,412, (814) 237-1828,6072,403,
BAR435,413,NA,,404,
BAR436,414,NA,,405,
BAR437,415,NA,,406,
BAR438,416, (570) 802-0595,6121,407,
BAR439,417, (717) 267-0440,6443,408,
BAR440,418,NA,,409,
BAR441,419, (508) 540-7481,425,410,
BAR442,420, (508) 771-0709,406,411,
BAR443,421, (732) 290-7544,807,412,
BAR444,422, (570) 385-4273,6030,413,
BAR445,423, (609) 655-8900,810,414,
BAR446,424, (570) 389-9004,6287,415,
BAR447,425, (631) 736-4772,579,416,
BAR448,426, (508) 394-4535,461,417,
BAR449,427, (570) 386-4146,6320,418,
BAR450,428, (610) 939-2640,6422,419,
BAR451,429, (610) 775-5015,6273,420,
BAR452,430,NA,,421,
BAR453,431,NA,,422,
BAR454,432, (732) 968-5100,897,423,
BAR455,433, (508) 539-1800,87,424,
BAR456,434, (610) 683-3689,6486,425,
BAR457,435, (610) 670-4713,6289,426,
BAR458,436, (717) 733-6334,6501,427,
BAR459,437, (718) 981-1900,2595,428,
BAR460,438,NA,,429,
BAR461,439, (717) 274-5629,6098,430,
BAR462,440, (717) 227-9420,6271,431,
BAR463,441, (717) 741-5332,6079,432,
BAR464,442, (717) 272-5584,6266,433,
BAR465,443, (717) 755-0991,6087,434,
BAR466,444, (732) 942-9860,808,435,
BAR467,445, (860) 691-2146,665,436,
BAR468,446, (717) 266-8560,6449,437,
BAR469,447, (516) 352-5332,2590,438,
BAR470,448, (717) 246-7137,6300,439,
BAR471,449, (717) 292-3702,6306,440,
BAR472,450, (732) 203-2233,801,441,
BAR473,451, (732) 967-9410,2809,442,
BAR474,452, (781) 582-3700,402,443,
BAR475,453,NA,,444,
BAR476,454, (732) 776-9564,2814,445,
BAR477,455, (540) 535-0598,6283,446,
BAR478,456, (973) 762-6608,2817,447,
BAR479,457, (732) 716-1580,855,448,
BAR480,458, (732) 409-2953,2812,449,
BAR481,459,NA,,450,
BAR482,460,NA,,451,
BAR483,461,NA,,452,
BAR484,462,NA,,453,
BAR485,463, (973) 729-7844,823,454,
BAR486,464, (610) 594-0847,6051,455,
BAR487,465, (973) 839-5510,2815,456,
BAR488,466, (973) 227-0319,2807,457,
BAR489,467,NA,,458,
BAR490,468, (201) 842-9993,831,459,
BAR491,469, (717) 625-0303,6004,460,
BAR492,470, (732) 957-0088,887,461,
BAR493,471, (732) 214-1127,2800,462,
BAR494,472, (718) 803-0863,509,463,
BAR495,473, (609) 737-9327,850,464,
BAR496,474, (732) 255-9879,840,465,
BAR497,475, (508) 427-0537,55,466,
BAR498,476, (610) 363-0799,6478,467,
BAR499,477, (717) 291-9678,6065,468,
BAR500,478, (973) 365-8040,2802,469,
BAR501,479, (732) 901-9200,815,470,
BAR502,480, (732) 329-0398,818,471,
BAR503,481, (540) 635-2249,6282,472,
BAR504,482,NA,,473,
BAR505,483, (732) 905-3300,873,474,
BAR506,484,NA,,475,
BAR507,485, (610) 444-8160,6105,476,
BAR508,486, (610) 831-5450,6284,477,
BAR509,487, (814) 695-2696,6288,478,
BAR510,488, (908) 859-8220,816,479,
BAR511,489, (732) 906-5600,803,480,
BAR512,490, (610) 792-9950,6317,481,
BAR513,491, (732) 422-4420,802,482,
BAR514,492, (973) 743-6413,800,483,
BAR515,493, (908) 754-6691,804,484,
BAR516,494, (717) 653-0396,6485,485,
BAR517,495, (201) 823-9292,853,486,
BAR518,496, (717) 898-3011,6029,487,
BAR519,497, (908) 436-1344,822,488,
BAR520,498, (973) 683-0100,893,489,
BAR521,499, (610) 705-0000,6448,490,
BAR522,500, (717) 299-0391,6484,491,
BAR523,501,NA,,492,
BAR524,502, (610) 241-1867,6545,493,
BAR525,503, (201) 342-6030,817,494,
BAR526,504, (610) 430-7150,6291,495,
BAR527,505, (717) 656-9983,6117,496,
BAR528,506, (732) 828-0139,809,497,
BAR529,507, (973) 593-8484,2805,498,
BAR530,508, (610) 917-9086,6023,499,
BAR531,509, (908) 782-8700,866,500,
BAR532,510,NA,,501,
BAR533,511, (201) 438-1747,819,502,
BAR534,512, (201) 262-1834,812,503,
BAR535,513,NA,,504,
BAR536,514, (610) 473-3200,6463,505,
BAR537,515, (540) 868-0224,6295,506,
BAR538,516, (973) 305-1333,888,507,
BAR539,517, (610) 344-3050,6505,508,
BAR540,518, (610) 705-3352,6471,509,
BAR541,519, (410) 658-7900,6425,510,
BAR542,520, (304) 788-0077,6071,511,
BAR543,521, (631) 691-0304,550,512,
BAR544,522, (201) 848-1046,825,513,
BAR545,523, (973) 779-6697,813,514,
BAR546,524, (610) 296-5551,6477,515,
BAR547,525, (631) 321-9046,564,516,
BAR548,526, (610) 383-5460,6301,517,
BAR549,527, (201) 784-7180,2819,518,
BAR550,528, (540) 942-7200,6285,519,
BAR551,529, (610) 345-0183,6045,520,
BAR552,530, (301) 777-7656,6003,521,
BAR553,531, (610) 431-2351,6116,522,
BAR554,532,NA,,523,
BAR555,533,NA,,524,
BAR556,534,NA,,525,
BAR557,535,NA,,526,
BAR558,536,NA,,527,
BAR559,537, NA,NA,528,
BAR560,538, (860) 563-1169,,529,
BAR561,539, (914) 628-5602,,530,
BAR562,540, (781) 596-1445,,531,
BAR563,541, (540) 723-6232,,532,
BAR564,542, (540) 442-7576,,533,
BAR565,543,NA,,534,
BAR566,544,NA,,535,
BAR567,545,NA,,536,
BAR568,546,NA,,537,
BAR569,547,(301) 729-4294,6297,538,
BAR570,548,NA,632,539,
BAR571,549,(914) 628-5602,513,540,
BAR572,550,NA,15,541,
BAR573,551,NA,6299,542,
BAR574,552,NA,6424,543,
BAR575,553, (516) 678-0720,577,544,
BAR576,554, (914) 739-3356,521,545,
BAR577,555, (914) 241-1494,2596,546,
BAR578,556, (914) 378-9311,522,547,
BAR579,557, (860) 393-4051,2616,548,
BAR580,558,NA,,549,
BAR581,559, (304) 728-8696,6102,550,
BAR582,560, (203) 797-8901,644,551,
BAR583,561, (540) 885-9504,6426,552,
BAR584,562, (860) 569-7050,693,553,
BAR585,563, (978) 388-7588,499,554,
BAR586,564, (860) 232-8777,634,555,
BAR587,565, (845) 471-2313,540,556,
BAR588,566, (914) 632-7084,529,557,
BAR589,567, (631) 351-8356,2583,558,
BAR590,568, (540) 727-1076,6454,559,
BAR591,569, (914) 937-7318,502,560,
BAR592,570, (845) 624-1514,527,561,
BAR593,571, (516) 826-4090,2588,562,
BAR594,572, (914) 631-8566,599,563,
BAR595,573, (914) 923-6550,2502,564,
BAR596,574, (845) 483-9000,597,565,
BAR597,575, (304) 267-8286,6107,566,
BAR598,576, (845) 634-2687,596,567,
BAR599,577, (978) 921-0920,32,568,
BAR600,578,NA,,569,
BAR601,579,NA,,570,
BAR602,580, (914) 997-0715,501,571,
BAR603,581, (914) 682-3279,593,572,
BAR604,582,NA,,573,
BAR605,583, (631) 366-0038,560,574,
BAR606,584,NA,,575,
BAR607,585, (914) 628-5602,2515,576,
BAR608,586, (718) 886-4488,2587,577,
BAR609,587, (631) 727-6751,590,578,
BAR610,588, (914) 637-2510,500,579,
BAR611,589, (718) 862-2809,504,580,
BAR612,590, (631) 462-5555,526,581,
BAR613,591,NA,,582,
BAR614,592,NA,,583,
BAR615,593,NA,,584,
BAR616,594,NA,,585,
BAR617,595,NA,,586,
BAR618,596, (845) 566-4214,528,587,
BAR619,597,NA,,588,
BAR620,598,NA,,589,
BAR621,599, (631) 547-6970,516,590,
BAR622,600, (978) 977-3900,5,591,
BAR623,601, (631) 348-2556,594,592,
BAR624,602,NA,,593,
BAR625,603,NA,,594,
BAR626,604,(631) 757-4394,558,595,
BAR627,605, (718) 525-0600,2585,596,
BAR628,606, (978) 232-9359,81,597,
BAR629,607, (781) 231-5120,407,598,
BAR630,608,NA,,599,
BAR631,609,NA,,600,
BAR632,610,NA,,601,
BAR633,611, (516) 594-1019,2565,602,
BAR634,612, (718) 980-0892,581,603,
BAR635,613,NA,,604,
BAR636,614, (631) 737-1576,544,605,
BAR637,615, (516) 539-1994,556,606,
BAR638,616, (631) 587-9452,543,607,
BAR639,617,NA,,608,
BAR640,618, (215) 703-0580,6018,609,
BAR641,619, (718) 846-2310,539,610,
BAR642,620, (718) 698-1138,2512,611,
BAR643,621,NA,,612,
BAR644,622,NA,,613,
BAR645,623, (516) 484-1391,2584,614,
BAR646,624,NA,,615,
BAR647,625,NA,,616,
BAR648,626,NA,,617,
BAR649,627,NA,,618,
BAR650,628, (631) 218-8626,563,619,
BAR651,629, (516) 739-1535,541,620,
BAR652,630, (718) 399-6161,2586,621,
BAR653,631,NA,,622,
BAR654,632,NA,,623,
BAR655,633, (631) 859-5090,561,624,
BAR656,634,NA,,625,
BAR657,635,NA,,626,
BAR658,636, (631) 642-1211,554,627,
BAR659,637, (516) 239-6617,578,628,
BAR660,638,NA,,629,
BAR661,639, (914) 663-8752,592,630,
BAR662,640,NA,,631,
BAR663,641, (631) 274-0931,557,632,
BAR664,642, (718) 469-1300,506,633,
BAR665,643, (718) 728-7724,510,634,
BAR666,644, (718) 648-0202,505,635,
BAR667,645, (718) 835-7900,2589,636,
BAR668,646, (631) 756-5130,545,637,
BAR669,647,NA,,638,
BAR670,648,NA,,639,
BAR671,649,NA,,640,
BAR672,650,NA,,641,
BAR673,651,NA,,642,
BAR674,652,NA,,643,
BAR675,653,NA,,644,
BAR676,654,NA,,645,
BAR677,655,NA,,646,
BAR678,656,NA,,647,
BAR679,657,NA,,648,
BAR680,658,NA,,649,
BAR681,659,NA,,650,
BAR682,660,NA,,651,
BAR683,661,NA,,652,
BAR684,662,NA,,653,
BAR685,663,NA,,654,
BAR686,664,NA,,655,
BAR687,665,NA,,656,
BAR688,666,NA,,657,
BAR689,667,NA,,658,
BAR690,668,NA,,659,
BAR691,669,NA,,660,
BAR692,670,NA,,661,
BAR693,671,NA,,662,
BAR694,672,NA,,663,
BAR695,673,NA,,664,
BAR696,674,NA,,665,
BAR697,675,NA,,666,
BAR698,676,NA,,667,
BAR699,677,NA,,668,
BAR700,678,NA,,669,
BAR701,679,NA,,670,
BAR702,680,NA,,671,
BAR703,681,NA,,672,
BAR704,682,NA,,673,
BAR705,683,NA,,674,
BAR706,684,(203) 245-7204,624,675,
BAR707,685,NA,,676,
BAR708,686,NA,,677,
BAR709,687,NA,,678,
BAR710,688,NA,,679,
BAR711,689,NA,,680,
BAR712,690,NA,,681,
BAR713,691,NA,,682,
BAR714,692,NA,,683,
BAR715,693,NA,,684,
BAR716,694,NA,,685,
BAR717,695,NA,,686,
